R28045	P15259	R27853
R62326	P2005	R60165
R67309	P33150	L233446
R59982	P33091	L146656
R63145	P33131	L183816
R32590	P15517	R32585
R36143	P27	L74593
R66419	P33145	L222761
R31678	P15426	L63325
R52066	P30002	L95525
R28856	P32	R28618
R57695	P30001	L125432
R25783	P26	L49204
R59405	P33048	L141426
R31714	P15437	L63742
R66612	P33144	L225076
R60326	P33129	L149986
R25797	P27	L49326
R63177	P33135	L184204
R62525	P33138	L176383
R62859	P33138	L180391
R68889	HAS_VALUE	R41049
R65427	P33152	L210864
R57308	P15068	L123191
R54441	P31005	L104136
R56750	P27	L118000
R63145	P33133	L183818
R64544	P33141	L200278
R66304	P33149	L221385
R57624	P31023	L124639
R44843	P32	R44546
R68377	P32	R68376
R66126	P33144	L219244
R56886	P30004	L119247
R56482	P31	R56483
R6162	P5008	R6158
R54685	P27030	L106516
R64198	P33145	L196130
R64998	P33143	L205707
R27455	P31	R27456
R69931	P27	L241505
R66495	P33152	L223680
R61057	P33135	L158764
R59107	P33050	L138448
R63257	P33136	L185165
R60544	P33139	L152612
R54425	P29012	L103983
R28642	P32	R28618
R60151	P33116	L148146
R62533	P33130	L176471
R34367	P32	R34321
R56943	P27	L119760
R55130	P31024	L110113
R63528	P33137	L188418
R60506	P33132	L152149
R63270	P33140	L185325
R6371	P30	R133
R23283	P7115	R23285
R27711	P15253	L55893
R25250	METHOD	L46883
R61823	P33134	L167955
R6610	P27	L5043
R50730	P29	L92893
R38909	P18087	R41435
R25705	P5027	L48744
R61305	P33137	L161742
R38863	P18071	R38868
R28056	P2001	R27980
R61445	P33130	L163415
R61796	P33135	L167632
R46633	P31	R46634
R64099	P33151	L194948
R57474	P27006	R57475
R64777	P33146	L203079
R54825	P30001	L107906
R66301	P33152	L221352
R61710	P33138	L166603
R67105	P33149	L230997
R57501	compareContribution	R57150
R54427	P15068	L104010
R59117	P33042	L138540
R66522	P33147	L223999
R61609	P33132	L165385
R69647	P34075	R69579
R64008	P33147	L193852
R29033	P32	R28968
R62543	P33131	L176592
R65768	P33143	L214947
R60827	P33137	L156006
R33795	P27	L70802
R50434	HAS_VENUE	R50432
R25235	P30	R11
R63770	P33133	L191318
R68672	P15198	R68675
R63567	P33137	L188886
R66478	P33143	L223467
R31700	P15451	L63539
R54041	P32015	L100299
R57567	HAS_RESULTS	R50419
R67600	P33147	L236935
R33024	P29	L69163
R61525	P33134	L164379
R67012	P33150	L229882
R60194	P33140	L148413
R50387	hasContent	L92455
R34086	P15619	L71330
R54552	P9040	L105193
R55109	P31023	L109923
R65034	P33146	L206142
R60918	P33136	L157097
R6238	P5009	R6240
R63869	P33152	L192189
R65278	P33142	L209066
R53451	P18077	R68164
R56755	P30004	L118050
R10016	P32	R10022
R58877	P33048	L136146
R59074	P33045	L138113
R28206	P15266	R28146
R64630	P33152	L201321
R60809	P33140	L155793
R59393	P33042	L141300
R68483	P32	R68532
R28558	P28	L57598
R62754	P33138	L179131
R26930	P15176	R26928
R58669	P2005	R58159
R65891	P33149	L216429
R62996	P33130	L182027
R62594	P33133	L177206
R53272	P9040	L98239
R25840	P27	L49703
R62855	P33135	L180340
R58577	P33043	L133141
R58582	P33047	L133195
R65674	P2005	R63783
R65237	P33151	L208583
R66292	P33143	L221235
R62048	P33132	L170653
R34720	P15687	L73426
R54059	P15068	L100481
R54728	P31005	L106963
R31878	compareContribution	R31834
R53280	P15068	L98301
R48315	P31	R48328
R67376	P2005	R63783
R25521	P28	L47998
R32560	P15522	L66386
R54444	P32119	L104162
R64415	P33142	L198731
R54938	P32124	L108473
R59978	P33101	L146618
R44906	P5049	R44895
R56110	compareContribution	R56095
R25169	P31	R25170
R59073	P33044	L138102
R66763	P33151	L226895
R32906	P15545	L68271
R65236	P33151	L208571
R59519	P33043	L142561
R70544	P15051	L242411
R63443	P33133	L187394
R63635	P33139	L189704
R58359	P33044	L130962
R66235	P33152	L220560
R58856	P33046	L135934
R29344	P26	L240435
R60694	P33136	L154409
R67690	P29	L237234
R64287	P2005	R63783
R30499	P32	R30477
R65027	P33148	L206060
R67170	P33141	L231769
R58344	P33045	L130813
R2081	P32	R2084
R63278	P33137	L185418
R57138	P32	R57102
R70401	HAS_ORCID	L242032
R8872	P4003	R9082
R55013	P27	L109032
R51324	HAS_ORCID	L94481
R62212	P33130	L172619
R59318	P33048	L140556
R65637	P33142	L213374
R67285	P33147	L233155
R63822	P33144	L191617
R56727	P30002	L117791
R70189	P32	R68944
R63235	P33138	L184903
R33711	P31	R33712
R64063	P33141	L194506
R31372	P30	R11
R63902	P33150	L192583
R46113	P27	L86285
R49376	P19001	L90576
R65091	P33150	L206830
R69471	P27	L240086
R6858	P5090	R6864
R60278	P33138	L149419
R66216	P33145	L220325
R67468	P33144	L235348
R61875	P33135	L168580
R62310	P33131	L173796
R9554	P30	R136
R66950	P33152	L229140
R59106	P33050	L138438
R62665	P33138	L178063
R66481	P33141	L223501
R59644	P33049	L143817
R64380	P33141	L198310
R6129	P30	R135
R67684	HAS_RESULTS	R51132
R46125	P31	R46126
R63622	P2005	R60165
R63597	P33130	L189239
R5057	P31	R50032
R60970	P33133	L157718
R66975	P33148	L229436
R54867	compareContribution	R54796
R58604	P33045	L133413
R64848	P2005	R63783
R60903	P2005	R60165
R51267	P27	R55257
R54390	P30002	L103639
R62991	P33139	L181976
R38194	P4036	R38198
R55108	P27	R41031
R34526	P28	L72690
R63732	P2005	R60165
R59586	P33044	L143232
R67436	P33146	L234966
R58635	P33044	L133722
R59570	P33048	L143076
R63526	P33137	L188394
R62317	P2005	R60165
R29236	P32	R29113
R57076	P30001	L121038
R65447	P33145	L211097
R63829	P33148	L191705
R64679	P33145	L201902
R46951	P25071	R46953
R12239	P27	L12275
R68373	P34015	R68327
R26685	P15166	L52990
R65734	P33152	L214548
R49211	TemplateComponentOrder	L90314
R56742	P28	L117928
R27039	compareContribution	R27003
R64470	P33143	L199392
R27427	P31	R27428
R34584	P27	L72747
R60810	P33136	L155801
R45103	P24016	L85118
R64507	P33151	L199844
R31956	P27	L64900
R64145	P2005	R63783
R54244	compareContribution	R54153
R29894	P15341	R29372
R63978	P33151	L193496
R64751	P33146	L202767
R59082	P2005	R58159
R65024	P33150	L206026
R66962	P33146	L229278
R57112	P27030	R49276
R63120	P33137	L183522
R54077	P32	R54013
R31953	P4012	L64884
R34447	P15419	L72553
R54724	P30004	L106919
R64805	P33152	L203421
R60336	P33138	L150115
R67454	P33147	L235183
R54664	P32117	L106305
R62964	P2005	R60165
R63615	P33139	L189464
R61172	P33135	L160144
R65228	P33147	L208471
R63613	P33132	L189433
R27047	P30	R11
R57220	P31024	L122371
R29874	P15342	R29654
R51136	HAS_RESULTS	R51090
R60326	P33138	L149995
R8203	P7010	R8131
R61842	P33133	L168182
R6339	P5016	L4462
R64532	P33142	L200135
R67335	P33145	L233753
R25725	P15076	R6538
R66309	P33150	L221446
R62097	P33137	L171246
R32656	P29	L66773
R61079	P33129	L159022
R67000	P33147	L229735
R41126	P31	R41127
R62574	P33133	L176966
R56956	P32	R56946
R61540	P33134	L164559
R67077	P33150	L230662
R64792	P33150	L203263
R32774	P28	L67293
R63889	P2005	R63783
R58623	P33048	L133606
R64746	P33141	L202702
R61646	P33138	L165835
R9285	P26	L8993
R60704	P33139	L154532
R59898	P2005	R59830
R59803	P33070	L145012
R63921	P33145	L192806
R27651	P15246	L55696
R69146	P34042	R69153
R61494	P33134	L164007
R63921	P33151	L192812
R64243	P33144	L196669
R56955	HAS_VENUE	R1012
R63774	P33130	L191363
R31809	compareContribution	R31808
R63023	P33134	L182355
R51199	HAS_RESULTS	R51055
R25131	P31	R25132
R8871	P4015	R8980
R59146	P33043	L138831
R44861	P32	R44546
R44882	P19001	L84057
R60859	P33140	L156393
R46092	P25008	L86153
R59541	P33042	L142780
R69608	P34075	R69530
R59265	P33041	L140019
R44137	P27	L82206
R61749	P33135	L167068
R60260	P33129	L149194
R46551	HAS_VENUE	R1012
R46202	HAS_VENUE	R1012
R63486	P33138	L187915
R58185	P33048	L129226
R56636	P28	L116950
R62258	P33129	L173170
R61358	P33132	L162373
R6801	P5075	L5337
R63324	P33138	L185971
R62612	P33136	L177425
R9542	P7227	L9241
R63014	P33134	L182247
R34609	P28	L72795
R62177	P33138	L172207
R62675	P33130	L178175
R34975	HAS_METHOD	R34977
R38236	P18043	R38239
R63428	P33139	L187220
R34288	P31	R34289
R30924	P15386	L62180
R60347	P33134	L150243
R61780	P33132	L167437
R62121	P2005	R60165
R54722	P29	L106893
R61548	P33138	L164659
R63011	P33138	L182215
R59752	P33062	L144703
R59006	P33042	L137430
R33051	P15590	L69337
R30917	P15072	L62165
R61096	P33135	L159232
R63267	P33140	L185289
R55001	P32122	L108923
R64289	P33147	L197224
R38264	P31	R38266
R55126	P29012	L110073
R30670	P15376	L61433
R25127	P4012	R25116
R25861	P27	L49851
R34121	P9006	L71472
R8719	P26024	R8784
R66061	P33152	L218472
R61759	P33136	L167189
R62326	P33135	L173992
R34815	P15690	R34812
R59956	P2005	R59919
R46598	P25064	L87642
R12245	P27	L12314
R63152	P33134	L183903
R25003	P26	L46003
R63944	P33142	L193079
R41146	P28	L79367
R63418	P33137	L187098
R59326	P33043	L140631
R54103	P30001	L100898
R30333	P15343	R29735
R44680	P27	L83430
R59205	P33044	L139422
R64719	P33149	L202386
R44515	P23129	L83004
R60118	P33117	L147652
R44461	P32	R44421
R61715	P33132	L166657
R46109	P27	L86259
R66212	P2005	R63783
R4426	P27	L264
R34137	P32	R34127
R56689	P15068	L117452
R32462	P29	L66104
R6796	P5072	L5320
R58953	P33045	L136903
R62500	P33137	L176082
R67597	P2005	R63783
R67197	P33151	L232103
R55065	P29012	L109507
R56573	HAS_VENUE	R1012
R60128	P33126	L147811
R27245	P15202	L54288
R44881	P23142	R44882
R63681	P33137	L190254
R34751	P15684	L73569
R65896	P33145	L216485
R62302	P33130	L173699
R29901	P15342	R29654
R26050	P15116	L51179
R65293	P33148	L209252
R28977	P30	R11
R63000	P33139	L182084
R31678	P15427	L63323
R59107	P33046	L138444
R67548	P33147	L236311
R65043	P33151	L206255
R60976	P33137	L157794
R32871	compareContribution	R32629
R62925	P33134	L181179
R66868	P33141	L228145
R31155	P15072	L62397
R58547	P33047	L132845
R69755	P26	L241085
R54096	P29	L100831
R60200	P33135	L148480
R32787	P15519	L67340
R61758	P33133	L167174
R61646	P33133	L165830
R44786	P23142	R44787
R29124	P15328	R29121
R30205	P29	L60335
R58298	P33042	L130350
R68687	P27	L238836
R59237	P33050	L139748
R30094	P15340	L60235
R62310	P33133	L173798
R66199	P33147	L220123
R62209	P33137	L172590
R67298	P33151	L233315
R65427	P33142	L210854
R64349	P33147	L197944
R60915	P33130	L157055
R58915	P33045	L136523
R4179	P4016	R4181
R64868	P2005	R63783
R69989	P18058	R51249
R33963	P30	R11
R60699	P33132	L154465
R62393	P33140	L174801
R34375	P15646	L72285
R64186	P33152	L195993
R61002	P33135	L158104
R64112	P33152	L195105
R66222	P33147	L220399
R68337	P34014	R67803
R26138	P30	R11
R63630	P33131	L189636
R61282	P33137	L161466
R56794	P33010	L118409
R61823	P33138	L167959
R6161	P31	R6162
R63564	P33135	L188848
R55292	HAS_EVALUATION	L110926
R65918	P33142	L216746
R44475	HAS_VENUE	R55226
R26026	P15110	L50961
R67107	P33145	L231017
R60069	P33106	L147403
R61076	P33133	L158990
R31823	P15468	R31821
R63892	P33141	L192454
R57716	P30004	L125661
R12248	P5049	R12230
R54048	P31	R54049
R68698	P30	R69
R29944	P15343	R29935
R62747	P33133	L179042
R31970	P15484	L64989
R33024	P31	R33051
R60797	P33130	L155639
R68744	P27	L238958
R56410	P31	R56411
R65202	P33141	L208153
R60254	P2005	R60165
R66304	P33152	L221388
R59475	P33047	L142125
R30817	url	L62073
R60852	P33139	L156308
R61851	P33133	L168290
R58234	P33048	L129716
R65649	P33147	L213523
R64212	P33149	L196302
R64275	P33143	L197052
R12249	compareContribution	R12235
R8359	P7050	L8485
R61488	P33129	L163930
R58283	P33041	L130199
R30789	P15380	L61917
R26740	P15164	R26613
R6890	P5085	L5544
R63840	P33149	L191838
R59531	P2005	R58159
R60117	P33124	L147644
R66861	P33149	L228069
R28953	P29	L58517
R62076	P33130	L170987
R57827	P31005	L126871
R62185	P33129	L172294
R31897	P15474	L64673
R55159	P30004	L110400
R58282	P33049	L130197
R40003	TemplateComponentOccurrenceMin	L78008
R6136	P5001	R6005
R64238	P33148	L196613
R64969	P33147	L205363
R33733	P15602	L70547
R25888	P27	L50044
R60697	P33131	L154440
R59881	P33081	L145635
R60227	P33130	L148799
R66149	P33141	L219517
R57916	P27	L127875
R26657	P15167	L52905
R31152	P15397	L62393
R58288	P2005	R58159
R31597	P29	L63177
R54466	P30	R50
R31708	P15444	L63665
R57089	P30001	L121164
R68312	P31	R68523
R68707	HAS_RESULTS	R68718
R63446	P33137	L187434
R66498	P33147	L223711
R30179	P29	L60306
R66569	P33150	L224566
R61088	P33139	L159140
R66551	P33151	L224351
R65967	P33148	L217340
R59750	P33058	L144675
R60047	P33112	L147145
R34979	P27	R34980
R38926	P18094	L76709
R67131	P33147	L231307
R64042	P33145	L194258
R33700	P15601	L70377
R59953	P33099	L146316
R66142	P33151	L219443
R67534	P2005	R63783
R58889	P33045	L136263
R65073	P33148	L206612
R59324	P33049	L140617
R66412	P33150	L222682
R27789	P32	R27729
R56596	P30004	L116570
R44813	HAS_ORCID	L83888
R70726	P7004	R70727
R56282	P33009	L113927
R65760	P33146	L214854
R55013	P28	L109033
R63821	P33148	L191609
R26120	P27	L51612
R61112	P33140	L159429
R61720	P33139	L166724
R62741	P33130	L178967
R26863	P26	L53443
R64845	P33148	L203876
R59048	P2005	R58159
R33702	P15604	L70384
R66657	P33145	L225617
R6950	icon	L5685
R44453	P23111	L82552
R58842	P33041	L135789
R60853	P33134	L156315
R29637	P26	L59894
R66308	P33149	L221433
R27801	P15258	R156
R61803	P2005	R60165
R57706	P27	L125554
R61799	P33138	L167671
R33825	P2001	R33821
R26727	P31	R26728
R56688	P27	L117438
R33718	P15602	L70467
R61648	P33131	L165852
R25455	P31	R25456
R65054	P33150	L206386
R58753	P33048	L134906
R25294	P27	L47062
R4443	P27	L292
R27385	P15218	L54776
R46068	P28	L86009
R46517	P32	R46491
R31562	P29	L63131
R61115	P33137	L159462
R61970	P33139	L169724
R58132	HAS_RESULTS	R50449
R62248	P33130	L173051
R25712	P5027	L48793
R64020	P33148	L193997
R30466	P28	L60593
R63854	P33151	L192008
R66783	P33151	L227135
R63337	P33133	L186122
R58958	P33050	L136958
R63348	P33139	L186260
R67038	P33148	L230192
R67308	P33148	L233432
R59624	P33050	L143618
R54107	P31023	L100934
R44815	P32	R44546
R59210	P33044	L139472
R54155	P9040	L101388
R66253	P33152	L220776
R56707	P33011	L117608
R63909	P33141	L192658
R25101	P27	L46240
R53239	P27030	L97978
R55283	P7004	L110904
R54040	P28	L100291
R23315	P7115	R23317
R56649	P27030	L117069
R66716	P33144	L226324
R63971	P33145	L193406
R27773	P15257	R27742
R60841	P33135	L156172
R27401	P31	R27402
R6285	P3004	L4330
R70609	P15393	L242823
R54629	P32117	L105955
R66182	P33144	L219916
R68629	P30	R278
R57866	P27	L127312
R26102	P15121	L51506
R54834	P26	L107988
R28940	compareContribution	R28935
R62906	P2005	R60165
R58853	P33046	L135904
R62465	P33133	L175658
R60022	P33109	L146842
R25483	P28	L47781
R32935	P15579	L68752
R26344	P15145	R26158
R63354	P33129	L186322
R55096	P32122	L109808
R29474	P15343	R29448
R33649	P27	L70104
R62549	P33131	L176664
R57869	P31024	L127343
R28601	P30	R11
R62433	P33140	L175281
R56346	P30004	L114453
R57092	P31	R57096
R61710	P33140	L166605
R52085	P15068	L95690
R64279	P33147	L197104
R62807	P33137	L179766
R38343	P29	L76284
R64598	P33148	L200933
R23268	P7159	L44952
R64082	P33149	L194742
R65463	P33151	L211295
R32957	P26	L68880
R34405	P29	L72404
R61582	P33131	L165060
R66891	P33145	L228425
R25606	P15066	L48340
R26218	P5083	R26198
R28990	P27	L58652
R68592	HAS_VALUE	L238689
R65959	P2005	R63783
R33700	P32	R33634
R55066	P27	L109518
R67511	P2005	R63783
R64086	P33144	L194785
R46564	P25061	L87495
R32234	P15509	L65816
R32008	P32	R31811
R63295	P33140	L185625
R63280	P33131	L185436
R25757	P15081	L49054
R61136	P2005	R60165
R68127	P27	R68143
R65341	P33150	L209830
R63199	P33132	L184465
R58645	P33044	L133822
R63484	P33134	L187887
R61188	P33135	L160336
R8035	P32	R8039
R63261	P2005	R60165
R56547	HAS_VENUE	R1012
R61123	P33138	L159559
R60755	P33139	L155144
R48265	P31	R48275
R28260	P26	L56920
R34031	P15619	L71251
R4563	HAS_RESULTS	L3322
R60508	P33134	L152175
R62913	P33135	L181036
R59248	P33049	L139857
R67370	P2005	R63783
R31239	P32	R31216
R66054	P33147	L218383
R53111	HAS_METHOD	R51093
R60523	P33129	L152350
R28347	P15271	R28338
R25793	P26	L49297
R61442	P33132	L163381
R62024	P33140	L170373
R45120	P26	L239901
R63021	P33134	L182331
R67040	P33150	L230218
R59212	P33041	L139489
R32749	P27	L67190
R4308	P26	L3127
R31172	P15400	L62459
R61665	P33131	L166056
R63071	P33132	L182929
R58914	P33050	L136518
R26292	P28	L52050
R54762	P30001	L107282
R61087	P33134	L159123
R60159	P2005	R60076
R63212	P33132	L184621
R56208	P30001	L113312
R48214	TemplateOfResearchProblem	R48245
R59295	P33045	L140323
R30715	P27	L61542
R65404	P33143	L210579
R33746	P15601	L70611
R63623	P33136	L189557
R39029	P4017	R38918
R64038	P33148	L194213
R57355	P31023	L123629
R49502	P27	L90771
R58596	P33045	L133333
R31113	P15397	L62312
R66825	P33142	L227630
R52139	P9040	L96125
R30229	P15341	R29372
R62093	P33134	L171195
R27459	P27	L55174
R67082	P33141	L230713
R65140	P33143	L207411
R52337	HAS_RESULTS	R52344
R28203	P15268	R26147
R34282	compareContribution	R34271
R60769	P33135	L155308
R46297	compareContribution	R46157
R69212	TemplateComponentOccurrenceMax	L239383
R61458	P33139	L163580
R64263	P33141	L196906
R64962	P33145	L205277
R31881	P31	R31882
R63076	P33134	L182991
R64246	P33142	L196703
R6689	P27	L5125
R65127	P33143	L207255
R66900	P33142	L228530
R59005	P33047	L137425
R61183	P33139	L160280
R31724	P15452	L63900
R66338	P33148	L221792
R59634	P33047	L143715
R60807	P33135	L155764
R6527	P31	R25687
R32874	P15537	L67747
R61407	P33139	L162968
R58353	P33050	L130908
R54138	P29	L101239
R46560	P32	R46550
R58236	P33044	L129732
R26043	P30	R11
R64875	P2005	R63783
R54146	P27	L101311
R65396	P33150	L210490
R44108	P27	R44109
R56148	P27	L112798
R66350	P2005	R63783
R54602	P31005	L105696
R61384	P33137	L162690
R66857	P33147	L228019
R66277	P33143	L221055
R63727	P33139	L190808
R8303	P7036	R8296
R27937	P15259	R27889
R70340	P7004	R70304
R43034	P22012	L81565
R3053	P15	R3054
R29259	P27	L59465
R29269	P15334	R29265
R65622	P33143	L213195
R25270	P32	R25259
R62982	P33130	L181859
R6776	P5085	L5249
R64391	P33148	L198449
R44607	TemplateComponentOrder	L83284
R65517	P33143	L211935
R57020	P30	R50
R64456	P33147	L199228
R53363	P26	L98815
R63501	P33137	L188094
R65798	P33151	L215315
R31958	P32	R31811
R58025	HAS_METHOD	R50356
R66479	P33150	L223486
R27744	METHOD	R1046
R6479	P5024	L4824
R6172	P27	L4232
R6474	P15	R6475
R58569	P33045	L133063
R62732	P33130	L178859
R64079	P33143	L194700
R53188	P31005	L97498
R23368	P27	L45341
R67122	P33147	L231199
R27491	P26	L241349
R64904	P33143	L204579
R56192	P30001	L113172
R30677	P15378	R30665
R34631	P28	L72945
R58	P36	R62
R25391	P30	R11
R56487	P31024	L115599
R61217	P33137	L160686
R60884	P33133	L156686
R63617	P33139	L189488
R51188	P28	L94306
R38321	P27	L76271
R58238	P33046	L129754
R60035	P33108	L146997
R68440	P34014	R67803
R51421	P27	L94592
R58719	P33047	L134565
R66753	P33147	L226771
R25008	P9059	R12271
R70590	P15393	R46888
R12251	url	L12337
R25310	P15035	L47164
R65064	P33151	L206507
R60511	P33135	L152212
R59681	P33048	L144186
R50762	P27	L92953
R60418	P33136	L151097
R65697	P33143	L214095
R64725	P33145	L202454
R28097	P30	R11
R56884	P33009	L119221
R57398	P30001	L124046
R60763	P33131	L155232
R28193	P27	L56808
R27494	P29	L55259
R57683	P31024	L125297
R6849	P5076	L5458
R29369	P15343	R29365
R63976	P2005	R63783
R59109	P33041	L138459
R63404	P33139	L186932
R38018	P18001	R38020
R26662	METHOD	R26609
R66651	P33152	L225552
R58385	P33046	L131224
R61799	P33129	L167662
R67444	P33144	L235060
R61309	P33139	L161792
R67418	P33141	L234745
R6110	P2005	L4130
R29817	P32	R29367
R31625	P15423	R31344
R54716	P9040	L106823
R6719	P27	R57583
R59977	P33097	L146602
R56314	P31005	L114192
R28653	P15292	R28624
R54686	P27	L106526
R44951	P27	L84217
R33137	P15592	R33133
R56506	P30	R50
R60602	P33138	L153307
R29368	P31	R29369
R66932	P33144	L228916
R69070	P29	L239256
R66052	P33148	L218360
R62502	P33129	L176098
R63576	P33135	L188992
R60134	P33115	L147890
R64189	P33144	L196021
R58655	P33042	L133920
R61576	P33134	L164991
R65599	P33151	L212927
R4344	P4035	L3153
R66919	P33144	L228760
R28324	P15271	L57059
R58752	P33048	L134896
R54783	P29012	L107486
R26829	P9008	R26195
R62246	P33130	L173027
R65551	P33150	L212350
R58673	P33050	L134108
R64028	P33151	L194096
R61190	P33130	L160355
R61472	P33140	L163749
R50430	contains	R50420
R57149	P31023	L121692
R57669	P30001	L125129
R67408	P33149	L234633
R60049	P33107	L147164
R30384	P26	L60476
R54215	P32102	L101988
R60475	P33136	L151781
R66247	P33147	L220699
R25724	P29	L48887
R25244	P15026	L46827
R32699	P26	L66952
R56781	HAS_VENUE	R1012
R4115	P1005	R4126
R67101	P33143	L230943
R56592	P32	R56530
R34821	P15691	L73763
R65471	P33148	L211388
R61558	P33132	L164773
R60912	P33135	L157024
R12220	P27	L12140
R67510	P33143	L235851
R39047	P5049	R39046
R60762	P33130	L155219
R54984	P30	R50
R62855	P33133	L180338
R32498	P15513	L66218
R67269	P33144	L232960
R56036	P28	L112200
R66598	P33144	L224908
R25643	P31	R25644
R62628	P33136	L177617
R29312	P30	R11
R59146	P2005	R58159
R50175	contains	R50163
R59800	P33064	L144970
R27961	P15259	R27866
R64696	P33146	L202107
R56800	P31023	L118457
R66022	P2005	R63783
R32939	P15558	L68820
R25864	P15090	L49875
R61937	P33138	L169327
R60120	P33118	L147683
R65917	P33144	L216736
R23443	P27	L45669
R57113	P28	L121363
R57295	P32	R57102
R52187	TemplateComponentOrder	L96266
